,from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count
1,872145446153298,Matt Baguinon,"Sa mga nagsasabi na dapat hindi dinadawit ang pangalan ng UPLB sa mga balitang krimen sa Los Baños, eto ang tanong para sa inyo.

Sa karamihan na nangyaring mga krimen kamakailan lang, masasabi ba talagang walang koneksyon ang UPLB dito maliban sa proksimidad?",2013-03-14T16:14:52+0000,status,NA,326350678368_10151415995723369,9,29,0
2,1051727581509550,Josef Alec Geradila,"UPB Kwentong CRS
Kwento ng Blocmate ko habang nasa jeep kami papuntang bayan:

Non Verbatim

Blocmate: Pre, alam mo ba namomroblema ako nung weekend!?!
Ako: Bakit naman?
Blocmate: Di kasi ako maka-login sa CRS pre, Nung friday ko pa sinusubukan, daming beses ko sinubukan kaso ayaw talaga. Sabi ko tuloy sa sarili ko tatanungin ko nalang kay Manang Jenny kung bakit di ako maka-login. Mga 15 beses ko siguro sinubukan pero ayaw talaga. Tapos napaisip ako, kasi bigla kong nahalata na iba yung istura ng page, di tulad nung last sem.
Ako: Tapos?
Blocmate: Akala ko nagbago talaga yung istura niya, last sem kasi diba, separate yung Batch Year dun sa student number? Yung 2012 nakahiwalay yung box dun sa susunod na limang number.
Ako: oo
Blocmate: Eh nung sinusubukan kong mag login, iisa lang yung box! Kaya nagtaka na ako nung napansin ko uli.
Ako: Tapos, anu ginawa mo?
Blocmate: Edi tiningnan ko yung address bar, tapos narealize ko na UPD pala yung pinaglologinan ko! Buong weekend ko di narealize na Mali pala yung pinapasukan ko!
kaya pagtapos nun hinahanap ko yung sa UPB, nung nasa page na ako ng UPB, di ko naman makita yung link sa CRS! Yun, nakita ko rin at nakapag CRS din ahaha!!!
Ako: Ahahahahaha! Muntik ka nang pumunta kay Manang Jenny dahil sa UPD ka mag CRS!!! AHAHAHA!
Blocmate: Kaya buti nalang nakita ko yun, at di ako napahiya kay Manang Jenny! ahaha
Ako: grabe talaga pre.

Ewan ko ba kung talagang sabaw lang si Blocmate o Distracted siya ahaha!",2013-03-12T15:43:15+0000,status,NA,326350678368_10151409081828369,66,12,0
3,10153120988669800,Abs,"MA class namin ngayon...
Usaping MRT...
Classmate 1 (Guy): Nakaapat na daan ng tren, hindi pa ako nakakasakay.
Classmate 2: Dapat doon ka sa lane niyo sumakay para makasakay ka.
Classmate 3 (Girl): *taps biceps* Nakikita mo itong braso ko? Pinapalaki ko ito panghawi ng mga tao sa MRT.
Prof: Doon talaga ma-experience yung idiom na ""Hindi mahulugang karayom"".
Classmate 2: Meron pa... ""Yung hindi makasayad ang paa sa lupa."" 'Di ba hindi talaga sasayad sa lupa yung paa mo roon?
Prof: *laughs* Naging iba na yung meaning nung idiom...",2013-03-14T10:25:52+0000,status,NA,326350678368_10151415566008369,28,0,0
4,881485778552884,Dara Medina,"UPB

Mukhang uso kc ang pagsusurvey samin these days, kung kaya't kanina, nagsurvey dn ako ng akin about sa opinion ng mga tao kung ano para sa knila ang isang ideal date. Yung kung anong type ng date ang perfect para sa knila, romantic ba o casual, etc. As in either may rose petals pa or mag-7eleven nlng, mga ganun ba.

So, ayun nga. Kasama kong lumalamon yung isa kong close friend na para ko ndng Kuya. At dahil nga nagsusurvey ako kuno, tnanong ko dn sya:

(nonverbatim)
Ako: Kuya, ano ang perfect date para sayo?

Kuya (walang kagatol-gatol): Yung may kasama ako.

Ako: o.O

K, fine. May point ka jan. 
-___-",2013-03-14T12:31:05+0000,status,NA,326350678368_10151415710108369,93,10,0
5,1015681535114490,Cherry Nicdao,"UPB. Bago magstart ang aming Humt1 class, naririnig ko sila ate at kuya na nag-uusap sa likod.

*non-verbatim*
Kuya: Grabe. Wala akong tulog. Kahit 1 minute lang wala.
Ate: Okay lang yan no! Sabi nga nung dormmate ko, ""Ang tulog madaling bawiin pero ang mababang grades, HINDI!""

Need I say more? HAHAHAHA. :D",2013-03-14T12:01:05+0000,status,NA,326350678368_10151415674138369,125,3,0
6,527264990742684,Ysa Malacas,NA,2013-03-13T08:14:14+0000,status,NA,326350678368_10151410204418369,206,13,0
7,843076422382444,Jed Albarico,"A normal day with my friends. NV:

Me: <singing> ""Nasayo na ang lahaaat, minamahal kitang 'pagkat.. nasayo na ang lahaaat pati ang puso koooo"" and that's ""Nasayo na ang lahat"", di naman masyadong obvious. *Laughs*

Classmate: Ang gara ng mga kanta ngayon 'no? Inuulit ulit lang yung title sa kanta. Alam mo ba kung san yan nagsimula?

Me: o.O saan?

Classmate: sa ""Baby"" ni justin bieber.",2013-03-14T14:59:33+0000,status,NA,326350678368_10151415880258369,71,3,0
8,10153492035848700,Rogene A. Gonzales,"Comrades, allow these words to dance you a hymn, of how much we love you.",2013-03-14T15:02:01+0000,status,NA,326350678368_10151415882643369,5,0,0
9,908914399207656,Eduk UP,"Noong freshman pa ako (maraming taon na ang nakaraan) 
ay may ka dorm mate ako na palaging hatid at sundo sa sariling 
sasakyan at di pa nagko-commute. Pero noong mag-dorm sya 
ay kinailangan nyang mag-commute. Minsan pagkatapos ng
klase nya ay mag-isa syang pauwi sa dorm. Sumakay siya ng ikot. 
Pero nalampas sya sa dorm kahit sumigaw sya upang makababa.
Paano naman hihinto ang ikot, eh ang sabi nya  kay mamang driver ay:

Bye bye!  

At pasigaw na inulit pa nang di humihinto ang ikot.

 Bye bye! 

Sa halip na:  ""Para!"" 

Ito kasi ang nakasanayan niyang sabihin sa naghahatid sa kanya 
pag bumbaba sya sa kotse nila!

Ah, freshman talaga!",2013-03-14T14:55:22+0000,status,NA,326350678368_10151415874643369,22,1,0
10,882890631722118,'Jaj Telan,"Kanina sa Zoo 102 Lecture. 

Merong video na ipapanood sa amin ng prof. E kaso, medyo may glare sa board kung saan naka-project at pini-play yung vid. 

(NON-VERBATIM)
Classmate 1: Paki patay po yung ilaw!
Classmate 2: Close the lights!

Edi nagsipagtawanan na ang lahat. Hahaha. 
Buti nalang at hindi ""kill the lights"" ang sinabi. Haha.",2013-03-13T12:46:41+0000,status,NA,326350678368_10151410472823369,95,39,0
11,846191875462330,Allyson Solidon,"UPVTC

Situation: Si other friend naka ""graduation gown"".
Freshie: (talking to me) ""Yung sa atin diba SAKLAY?""

O.o Srsly? Haha. Anyare?",2013-03-12T23:37:22+0000,status,NA,326350678368_10151409697128369,768,20,0
12,1055421274472060,<U+8521><U+767D>,Considered po bang pasado or pasok sa UPLB ang 2.801?,2013-03-12T09:17:36+0000,status,NA,326350678368_10151408678453369,10,54,0
13,527264990742684,Ysa Malacas,"March 13, 2013
8:30-10:00 AM
MBLH, UPLB
Math 36 B (under Ma'am S.S.D.)

ang topic ay Fundamental Theorem of Calculus (FTC) ata, hindi ko na alam kasi late ako pumasok :))

while solving a sample problem. . .

ma'am: yan ang wag mong gagawin, ang let u be x. . . .(insert more explanations here). . . .so, kilangan nating gumamit ng theorem, yung makakapagpahiwalay sa kanilang dalawa.

======
boom!",2013-03-13T07:35:42+0000,status,NA,326350678368_10151410184393369,40,1,0
14,10203869663843100,Rafael Jose Manulid,NA,2013-03-14T13:46:35+0000,video,http://www.youtube.com/watch?v=woW5j76_NBQ,326350678368_10151415784028369,21,1,0
