"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"10","10204469840900779","Micaella Dato","Daredevil Oble poster boy of the world's tallest bungee jumping site :3","2013-03-29T07:23:04+0000","status",NA,"326350678368_10151438798168369",28,0,0
"1","10154096381639255","Tin Madrio","Sawing Buhay-PagIbig

Nung nakilala ko si ex na itatago natin sa pangalang R tuwang tuwa sya, amaze na amaze sya sakin kasi ang talino ko daw. Yun daw nagustuhan nya sa akin kasi madami akong alam na pwede ko ishare sa kanya. HAHAHA.. Aminin ko, oo flattered ako nung narinig ko yun. At some point, nagkakausap naman kami ng may sense kahit sya aminadong hindi kami same ng wavelength. We both worked on the same company and he's way ahead sakin, sa position, sa edad sa experience.

Because inakala ko na serious na yung lovestory namin ni R, pinakilala ko sya sa family ko, same din sa kanya na pinakilala nya ako sa family nya. Umabot kami ng almost 1 year. Almost lang kasi ilang days nalang sana mag 1 year kami, nahuli ko syang may iba. Syempre, dahil taga UP ako, ginamit ko ang research skills na natutunan ko sa course ko. Ngayon, when I already had all the evidences, I confronted him and waited for his explanation.

Una, nainis ako sa sabi nya pero later on tinawanan ko nalang din. Sabi ba naman ni R sakin, ""Yan problema sayo, andame mong alam. Pano mo nalaman yung tungkol sa amin?""

Booooom! Ayun. Hiwalay na talaga kami. HAHAHA.. Nakakatawang isipin na kung ano yung sabi nyang nagustuhan nya sa akin, yun din magpapabagsak sa kanya. 

Sorry nalang R ha! Di ako nagpaloko sayo nung nalaman ko yun lahat. Tsaka, wag mo kasi iunderestimate research skills ko! Hahahaha :-D","2013-03-30T06:45:13+0000","status",NA,"326350678368_10151440362323369",221,15,0
"101","1159504007394751","John Christopher Lawrence Morillo","Please help us find him.","2013-03-30T04:57:57+0000","status",NA,"326350678368_10151440290613369",0,0,0
"14","10204818651660936","Sean Henry Louis","Alam kong wala lang to, pero, bahala na :)

MATH 14 CLASS (Mar. 6, 2013)

Friend: Ui friend, ano ung ""nostalgic""?
Me: Ang ""nostalgic"" parang love yan, ung bigla mong naaalala ung past mo...""
Friend: Ano nga eeee???
Me: It reminds you of the past.
Friend: Oh? Okay! Salamat.
Me: Parang ikaw, nostalgic. You remind me of the past...
Friend: Talaga?
Me: Yung mukha mo kasi eh...
Friend: Ano meron sa mukha ko?
Me: Pang-Paleolithic Age.
Friend: (In Pangasinan) ""P***ng ina mo, Sean!""
Me: (In Pangasinan) ""P***ng ina mo rin! Oh my gad, da feeling is mutual!""
Friend: ""K""

-share lungs.

Happy(?) Summer! :)","2013-03-30T01:48:49+0000","status",NA,"326350678368_10151440007483369",386,14,0
"19","10153676461203999","Cher Ivy Magtoto","2010. May presentation ako sa head office sa mga managers together with the sales group. Habang naghihintay sa labas ng room, na realize kong may kulang sa slides. Wala ng time, so ginawa ko umupo na lang sa may aisle at sumandal sa wall habang nag eedit. Nakita ako ni sales head.

Sales head: taga UP ka no? 

Ako: yes mam. :)

SH: sabi na nga ba, bigla ka na lang umupo sa flooring eh. Hahaha. 8x-xxxxx (i forgot her batch). 

Ako: 96-58108

*APIR*","2013-03-31T13:28:17+0000","status",NA,"326350678368_10151442048118369",368,6,0
"2","10154088840431520","John Simon",NA,"2013-03-31T08:20:18+0000","photo","https://www.facebook.com/photo.php?fbid=10151551512491520&set=gm.10151441749463369&type=3","326350678368_10151441749463369",136,7,0
"3","1283910438292313","Lawrence Jacob Cruzata Alterado",NA,"2013-03-31T16:10:02+0000","photo","https://www.facebook.com/photo.php?fbid=621781934505170&set=gm.10151442242533369&type=3","326350678368_10151442242533369",124,14,0
"4","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:50:47+0000","status",NA,"326350678368_10151442310258369",3,13,0
"5","1339704759388652","Stee Sabigan",NA,"2013-03-31T17:07:18+0000","status",NA,"326350678368_10151442328388369",0,1,0
"6","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:58:57+0000","status",NA,"326350678368_10151442319343369",0,1,0
"7","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:13:00+0000","status",NA,"326350678368_10151442246028369",0,1,0
"8","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:18:33+0000","status",NA,"326350678368_10151442269968369",0,6,0
"9","10205562814377833","Carlo Santos",NA,"2013-03-31T16:40:35+0000","status",NA,"326350678368_10151442297113369",2,1,0
"102","10205562814377833","Carlo Santos",NA,"2013-03-31T16:32:19+0000","status",NA,"326350678368_10151442287023369",0,3,0
"11","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:04:27+0000","status",NA,"326350678368_10151442236373369",4,5,0
"12","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:04:27+0000","status",NA,"326350678368_10151442236383369",0,3,0
"13","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:04:24+0000","status",NA,"326350678368_10151442236278369",1,1,0
"141","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:04:25+0000","status",NA,"326350678368_10151442236333369",0,1,0
"15","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:04:24+0000","status",NA,"326350678368_10151442236303369",0,1,0
