"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"1","10207735446816022","Bernadette Labagriel Bertos","Just for fun. :D","2011-03-16T19:38:26+0000","photo","https://www.facebook.com/photo.php?fbid=1755086848833&set=gm.10150264199323369&type=3","326350678368_10150264199323369",55,1,0
"2","10209268396291499","Christelsen Janz Guce Hernandez","are you a harry potter fan? :D

All it takes is P100 to avail one of these. :D

for those who are interested, PM me. :D or maybe just comment. \m/

SALAMAAAAT! :D","2011-03-16T13:50:25+0000","status",NA,"326350678368_10150264199343369",0,0,0
"3","10204482513301487","Annadel Sapugay","SAMAEKO-UPLB nomination

Formally inopen ng coordiantor namin ang floor para sa nomination for the execom...natapos ang positions ng coordinator at vice coordiantor..secretary na ang sunod:

Ako: (nagtataas ng kamay dahil gusto kung inominate ang sarili ko)
**after nth times tinawag na rin ako ni ms. coor
Coor: oh cge del ikaw na
Ako:yes ako na!(ang bibo ko pa sabay sabing) I MOVE MYSELF!

**huli na ng narealize kong mali..tuwang tuwa tuloy ang mga orgmates ko..haha...gusto ko ksi magnominate pero ang nasa isip ko ay icoclose na ang nomination,sabaw lang :)","2011-03-16T12:53:06+0000","status",NA,"326350678368_10150264440973369",35,2,0
"4","1161977633821651","Clarissa Escasinas","habang kumakain kami sa isang silogan place. ang iingay ng sa kabilang table. i overheard:

Kuya 1: Ui guys! Anong sabi ng tsunami sa Japan?

Kuya 2: O ano naman daw?

Kuya 1: Nothing, it just waved.

Me and roommate: o_O","2011-03-16T10:25:02+0000","status",NA,"326350678368_10150264440943369",67,0,0
"5","1234317066582950","Jcel Baltazar Luna","HUM3 class w/ Prof. Reagan M.(UPLB)
(recitation mode. topic namin about technology)

Prof: Oh habang nag-iisip kayo ng isasagot, pupunta lang muna ako sa CR. 
Class: *laughs**claps* (XD ngayon lang kami nakaencounter ng prof na nag excuse in the middle of the class para lang umihi)
Prof: (ngiting ngiti habang lumalabas)

Prof: (pagbalik) oh wala parin kayo maisasagot?
Class: (tahimik)
Prof: ako na nga. oh ayun, tulad ng kanina. Bakit di na lang gawin ng nano technology na in tablet form ang ihi para dinudura na lang. para di ko na din kelangang mainterrupt ang class pag naiihi ako. 
Class: *Laughtrip*

XD gay na gay. Love it!","2011-03-16T04:37:04+0000","status",NA,"326350678368_10150264440908369",27,2,0
"6","10204238560962712","Lady Agape Panamogan Galang","(nasira yung mouse ng lappy ko)

ako: anu ba yan!
Sira na naman mouse ko.
girl1:pati ba naman mouse nasisira sa iyo?
Ako:huh? Eh siyempre natural!
Ginagamit ko kaya lagi.
Girl1: ah...
So pati utak niyo niyan masisira din? (ginagamit kasi lagi)","2011-03-16T03:53:38+0000","status",NA,"326350678368_10150264440888369",13,0,0
"7","10206344319951823","Jem de Pedro","If you think HELPING OTHERS is a quality choice.
please like this page:

then like ENTRY 9 :) http://www.facebook.com/video/video.php?v=1927804155112&oid=155581184454152&comments 

PRETTY PLEASE? thanks!!!! :D","2011-03-16T03:37:42+0000","status",NA,"326350678368_10150264199353369",0,0,0
"8","10207484234456301","Lexi Llamasares","BECAUSE I AM SUCH A SUPPORTIVE SISTER... please like this page. this is for my sister's final exam in one of her classes. help them reach the 1500 mark OR MORE! thank you!!! ","2011-03-15T15:14:01+0000","status",NA,"326350678368_10150264199358369",2,0,0
"9","10207193545498698","Patotsky Woods","Any tips on choosing professors for the summer classes? (Communication Skills subjects) thanks. xD","2011-03-15T14:20:42+0000","status",NA,"326350678368_10150264440803369",0,7,0
"10","10207513756555437","Genesis Santos","COMA 104 (Language and Culture /Sociolinguisitics) UPLB

Prof na sulit ang 3K mo: Oh, ang mga taboo words, social din yan, tignan mo ang PUTANGINA, bakit gano'n? Walang HOSTONG AMA?!

Ako: HAHA!
SEATMATE: *nagbu-buffer* Ano'ng hostongama?
AKO: Hostong ama, alam mo ang hostes? ayun.

SEATMATE: Ahhh. *TAWA* ang slow ko! Galing.","2011-03-15T14:00:12+0000","status",NA,"326350678368_10150264440773369",23,5,0
"11","10206206835633779","Ralph Dela Rosa","This may be inappropriate pero share ko na din. Ang benta kasi. :))
""It's Friday! Friday! Gotta get down on Friday!""

","2011-03-15T12:34:35+0000","link","http://www.youtube.com/watch?v=CD2LRROpph0","326350678368_10150264199413369",1,8,0
"12","10208718366853856","Wchl C. Dstr","Professor pumasok sa classroom...

""Oh, what's with the face? Hell week na nga, you guys look like hell pa!""","2011-03-15T11:40:23+0000","status",NA,"326350678368_10150264440748369",75,1,0
