"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"1","1122533414433121","Iris Castano","acctg 1 prof: okay let's prepare entries. pick 2 companies. Uh, let's have san miguel and philip morris.
class: *giggles*
prof: eh bakit tatawa-tawa kayo dyan? eh lasengga at chain smoker ako eh, bakit ba?","2010-02-24T23:32:27+0000","status",NA,"326350678368_10150264213008369",16,2,0
"2","1122533414433121","Iris Castano","math prof: ang sakit ng likod ko ngayon. nagtraining na kasi kami ng partner ko for the badminton doubles para sa cs cup (yata). Defending champions kami and we have to protect the crown. Alam niyo ba kung ano ginagawa ko? taga-yuko ako at taga-ilag sa shuttle cock kaya iyan, masakit nga likod ko. tinatantsa ko pa yun ah. yung partner ko naman, ang galing galing talaga!","2010-02-24T23:30:55+0000","status",NA,"326350678368_10150264212993369",2,0,0
"3","10154001768060842","Camille Navarro Rodrigo","san ung TBA? =P","2010-02-24T19:49:04+0000","status",NA,"326350678368_10150264212973369",11,13,0
"4","956227047748380","Jorlan Dan","freshman: manong, sa UP po.
tricyle driver: ay, iskwater! yuckk!!!!! 

lol","2010-02-24T19:15:26+0000","status",NA,"326350678368_10150264212968369",4,6,0
"5","10154756377022627","Athan Francisco","isang matyagang labmate na nahihirapan sa pagpoprogram ng para sa isang CS subject:
""kung pagmamahal nga natututunan, eto pa kaya...""","2010-02-24T18:38:04+0000","status",NA,"326350678368_10150264212873369",38,2,0
"6","10154079508818982","Noelle Polack","Dr. Lazaro: (To me, arriving ten minutes late for his radio class) Why are you late? Akala mo ganun kaganda report mo? Sige tingnan natin, kung palpak yan, boljak ang abot mo!

(Pero truly, I love him. :))","2010-02-24T18:22:53+0000","status",NA,"326350678368_10150264212863369",2,5,0
"7","10205992855836398","Denise Hanna Fajardo","First day ng Span 10 class.
May Chinese guy kasi na late dumating tas dirediretso lang siya pumasok sa classroom without greeting the prof. Nainis tuloy si sir.
Sir: Blahblahblah. San ka grumaduate ng high school? Xavier ba?
Guy: Di po. Ateneo po. (Nalaman ko nalang after a few days na from Xavier nga siya.:)))
Sir: *Inirapan si Chinese guy sabay tuloy na sa pinaguusapan ulit.*
Nung patapos na ung class... (Ewan ko kung bakit napunta ung usapan dito..)
Sir: Ayaw ko talaga sa mga Chinese. Blahblahblah. *Sabay tingin kay Chinese guy.*

Sobrang natawa lang kaming mga classmates koooo! :))","2010-02-24T18:19:32+0000","status",NA,"326350678368_10150264212858369",3,5,0
"8","10209096747802347","Mae Legaspi","first day as a freshie, naghahanap kami ng upuan ng classmate ko. may nakita kaming mga upuan sa tapat ng casaa. so umupo kami. tinanong kami kung freshies kami. sabi namin oo. tapos nalaman na lang namin na tambayan pala ng praxis un :)) nakakahiya :))","2010-02-24T18:06:14+0000","status",NA,"326350678368_10150264212803369",5,5,0
"9","10204151766833252","Nichol Lopez","Math 11:

Prof - ""Pano nyo ba i-spell ang ""duh""?
Kami - ""D-U-H""
Prof - ""Buti alam nyo... may nakita ako sa test paper: DA!""

*kulang na lang, la-sag-na, heheh*","2010-02-24T17:59:38+0000","status",NA,"326350678368_10150264212783369",9,0,0
"10","10153309281295946","Abbey Pangilinan","May nakasabay akong dalawang matandang babae sa ikot jeep, ang tema ng usapan nila ay ganito:

Lola 1: ""parang tatlong beses na natin nadaan ito"" ( sa may Public Ad)

Lola 2: ""sabi ko sa iyo sabihin mo ibaba tayo sa terminal eh""

Ako (thought bubble): Naku, mga lola iikot lang po ng iikot itong jeep na ito, aabutin kayo ng siyam siyam kakaantay sa terminal.","2010-02-24T17:54:20+0000","status",NA,"326350678368_10150264212773369",17,2,0
"11","1119805441373367","Marie Grace Armada-viuda De-Ordonio","Prof : ONLY GOD DESERVES 1. and I am GOD!","2010-02-24T17:32:52+0000","status",NA,"326350678368_10150264212753369",1,2,0
